customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,Department,Amount
103,Atelier graphique,Schmitt,Carine ,40.32.2555,54  rue Royale,Null,Nantes,Null,44000,France,1370,21000,Sports,16.73
112,Signal Gift Stores,King,Jean,7025551838,8489 Strong St.,Null,Las Vegas,NV,83030,USA,1166,71800,Automotive,190.07
114,Australian Collectors  Co.,Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,1611,117300,Grocery,269.53
119,La Rochelle Gifts,Labrune,Janine ,40.67.8555,67  rue des Cinquante Otages,Null,Nantes,Null,44000,France,1370,118200,Clothing,266.52
121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,Null,Stavern,Null,4110,Norway,1504,81700,Home,313.95
124,Mini Gifts Distributors Ltd.,Nelson,Susan,4155551450,5677 Strong St.,Null,San Rafael,CA,97562,USA,1165,210500,Sports,66.27
125,Havel & Zbyszek Co,Piestrzeniewicz,Zbyszek ,(26) 642-7555,ul. Filtrowa 68,Null,Warszawa,Null,01-012,Poland,Null,0,Clothing,167.32
128,Blauer See Auto  Co.,Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,Null,Frankfurt,Null,60528,Germany,1504,59700,Automotive,126.48
129,Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,Null,San Francisco,CA,94217,USA,1165,64600,Grocery,300.14
131,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,Null,NYC,NY,10022,USA,1323,114900,Sports,132.09
141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,C/ Moralzarzal  86,Null,Madrid,Null,28034,Spain,1370,227600,Tools,5.87
144,Volvo Model Replicas  Co,Berglund,Christina ,0921-12 3555,Berguvsv?gen  8,Null,Lule?,Null,S-958 22,Sweden,1504,53100,Shoes,83.97
145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinb?ltet 34,Null,Kobenhavn,Null,1734,Denmark,1401,83400,Music,163.61
146,Saveley & Henriot  Co.,Saveley,Mary ,78.32.5555,2 rue du Commerce,Null,Lyon,Null,69004,France,1337,123900,Sports,337.69
148,Dragon Souveniers  Ltd.,Natividad,Eric,+65 221 7555,Bronz Sok.,Bronz Apt. 3/6 Tesvikiye,Singapore,Null,79903,Singapore,1621,103800,Shoes,186.41
151,Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,1286,138500,Toys,59.38
157,Diecast Classics Inc.,Leong,Kelvin,2155551555,7586 Pompton St.,Null,Allentown,PA,70267,USA,1216,100600,Games,29.11
161,Technics Stores Inc.,Hashimoto,Juri,6505556809,9408 Furth Circle,Null,Burlingame,CA,94217,USA,1165,84600,Shoes,317.13
166,Handji Gifts& Co,Victorino,Wendy,+65 224 1555,106 Linden Road Sandown,2nd Floor,Singapore,Null,69045,Singapore,1612,97900,Computers,88.22
167,Herkku Gifts,Oeztan,Veysel,+47 2267 3215,Brehmen St. 121,PR 334 Sentrum,Bergen,Null,N 5804,Norway  ,1504,96800,Baby,104.15
168,American Souvenirs Inc,Franco,Keith,2035557845,149 Spinnaker Dr.,Suite 101,New Haven,CT,97823,USA,1286,0,Music,307.57
169,Porto Imports Co.,de Castro,Isabel ,(1) 356-5555,Estrada da sa?de n. 58,Null,Lisboa,Null,1756,Portugal,Null,0,Health,214.75
171,Daedalus Designs Imports,Ranc?,Martine ,20.16.1555,184  chauss?e de Tournai,Null,Lille,Null,59000,France,1370,82900,Toys,40.91
172,La Corne D'abondance  Co.,Bertrand,Marie,(1) 42.34.2555,265 boulevard Charonne,Null,Paris,Null,75012,France,1337,84300,Health,246.89
173,Cambridge Collectables Co.,Tseng,Jerry,6175555555,4658 Baden Av.,Null,Cambridge,MA,51247,USA,1188,43400,Toys,100.87
175,Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,Null,Bridgewater,CT,97562,USA,1323,84300,Music,197.38
177,Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,1-6-20 Dojima,Null,Kita-ku,Osaka, 530-0003,Japan,1621,81200,Home,336.48
181,Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,1286,76400,Electronics,38.13
186,Toys of Finland  Co.,Karttunen,Matti,90-224 8555,Keskuskatu 45,Null,Helsinki,Null,21240,Finland,1501,96500,Outdoors,84.33
187,AV Stores Co.,Ashworth,Rachel,(171) 555-1555,Fauntleroy Circus,Null,Manchester,Null,EC2 5NT,UK,1501,136800,Jewelery,237.64
189,Clover Collections  Co.,Cassidy,Dean,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,Null,2,Ireland,1504,69400,Health,247.94
198,Auto-Moto Classics Inc.,Taylor,Leslie,6175558428,16780 Pompton St.,Null,Brickhaven,MA,58339,USA,1216,23000,Beauty,276.77
201,UK Collectables  Ltd.,Devon,Elizabeth,(171) 555-2282,12 Berkeley Gardens Blvd,Null,Liverpool,Null,WX1 6LT,UK,1501,92700,Automotive,109.73
202,Canadian Gift Exchange Network,Tamuri,Yoshi ,(604) 555-3392,1900 Oak St.,Null,Vancouver,BC,V3F 2K1,Canada,1323,90300,Home,236.71
204,Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,Null,Brickhaven,MA,58339,USA,1188,68700,Toys,377.12
205,Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,Null,Pasadena,CA,90003,USA,1166,90700,Home,120.87
206,Asian Shopping Network  Co,Walker,Brydey,+612 9411 1555,Suntec Tower Three,8 Temasek,Singapore,Null,38988,Singapore,Null,0,Industrial,58.63
209,Mini Caravy,Citeaux,Fr?d?rique ,88.60.1555,24  place Kl?ber,Null,Strasbourg,Null,67000,France,1370,53800,Automotive,317.62
211,King Kong Collectables  Co.,Gao,Mike,+852 2251 1555,Bank of China Tower,1 Garden Road,Central Hong Kong,Null,Null,Hong Kong,1621,58600,Toys,77.54
216,Enaco Distributors,Saavedra,Eduardo ,(93) 203 4555,Rambla de Catalu?a  23,Null,Barcelona,Null,8022,Spain,1702,60300,Electronics,262.2
219,Boards & Toys Co.,Young,Mary,3105552373,4097 Douglas Av.,Null,Glendale,CA,92561,USA,1166,11000,Automotive,228.22
223,Nat?rlich Autos,Kloss,Horst ,0372-555188,Taucherstra?e 10,Null,Cunewalde,Null,1307,Germany,Null,0,Outdoors,115.21
227,Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,Null,?rhus,Null,8200,Denmark,1401,120800,Games,27.93
233,Qu?bec Home Shopping Network,Fresni?re,Jean ,(514) 555-8054,43 rue St. Laurent,Null,Montr?al,Qu?bec,H1J 1C3,Canada,1286,48700,Garden,394.61
237,ANG Resellers,Camino,Alejandra ,(91) 745 6555,Gran V?a  1,Null,Madrid,Null,28001,Spain,Null,0,Games,139.07
239,Collectable Mini Designs Co.,Thompson,Valarie,7605558146,361 Furth Circle,Null,San Diego,CA,91217,USA,1166,105000,Home,272.34
